course_id,course_title,lec_section,lab_section,lec_credit,lab_credit,day,time,room,lecturer
261217,Data Structues for Computer Engineers,099,000,3,0,TuF,0930-1100,719 ชั้น 7 ตึก 30 ปี คณะวิศวะฯ,ปฏิเวธ  วุฒิสารวัฒนา
261217,Data Structues for Computer Engineers,801,000,3,0,TuF,0930-1100,719 ชั้น 7 ตึก 30 ปี คณะวิศวะฯ,ปฏิเวธ  วุฒิสารวัฒนา
261304,Computer Architecture,001,000,3,0,MTh,1100-1230,ห้อง 719 ชั้น 7 ตึก 30 ปี คณะวิศวกรรมศาสตร์,ศันสนีย์  เอื้อพันธ์วิริยะกุลCo-Instrucณัฐนันท์  พรหมสุข
261304,Computer Architecture,801,000,3,0,MTh,1100-1230,ห้อง 719 ชั้น 7 ตึก 30 ปี คณะวิศวกรรมศาสตร์,ศันสนีย์  เอื้อพันธ์วิริยะกุลCo-Instrucณัฐนันท์  พรหมสุข
261305,Operating Systems,701,000,3,0,TuF,1100-1230,203,นริศรา  เอี่ยมคณิตชาติ
261335,Computer Networks,001,000,3,0,TuF,1100-1230,ห้อง 719 ชั้น 7 ตึก 30 ปี คณะวิศวกรรมศาสตร์,อัญญา อาภาวัชรุตม์ วีรประพันธ์Co-Instrucตรัสพงศ์  ไทยอุปถัมภ์ยุทธพงษ์  สมจิต
261335,Computer Networks,099,000,3,0,TuF,1100-1230,ห้อง 719 ชั้น 7 ตึก 30 ปี คณะวิศวกรรมศาสตร์,อัญญา อาภาวัชรุตม์ วีรประพันธ์Co-Instrucตรัสพงศ์  ไทยอุปถัมภ์ยุทธพงษ์  สมจิต
261335,Computer Networks,701,000,3,0,TuF,0930-1100,202-2,อัญญา อาภาวัชรุตม์ วีรประพันธ์Co-Instrucตรัสพงศ์  ไทยอุปถัมภ์ยุทธพงษ์  สมจิต
261335,Computer Networks,801,000,3,0,TuF,1100-1230,ห้อง 719 ชั้น 7 ตึก 30 ปี คณะวิศวกรรมศาสตร์,อัญญา อาภาวัชรุตม์ วีรประพันธ์Co-Instrucตรัสพงศ์  ไทยอุปถัมภ์ยุทธพงษ์  สมจิต
261336,Computer Networks Laboratory,000,001,0,1,We,1300-1600,521,โดม  โพธิกานนท์Co-Instrucยุทธพงษ์  สมจิต
